ANID,2016 Comp Group,Alternate ID,Laboratory,Investigator,Affiliation,Source/Excavator/Museum,Region,Country,State/Province,Estate,Site Name,Latitude,Longitude,UTM Zone,Northing,Easting,Material,Ware,Ceramic Type,Vessel Form,Exterior Decoration,Interior Decoration,Paste Color,Major Temper,Minor Temper,Culture,Context,Provenience,Period,Date,Picture,Comments,Notes,Compositional Group,Spare ANID,Long RDF,Long Date,Short RDF,Short Date,As,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
JAM019,UNAS,T2.212.187.3.AA(78),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Thetford,Thetford,,-77.0000,18P,0,0,ceramic,,Domestic Coil,Vertical Pot,Slipped and Burnish,,,,,,Slave Village,,Historic,,,,,unassigned,JAM019,HLL2,11/21/2004,HAM1-S,11/12/2004,7.7766,14.8653,0.2135,12.3607,2.5856,1.4996,1.3205,29.5076,26.9983,61.9431,1.8632,0.6916,52088.1,5.5599,0.00,66.08,0.7749,14.3219,333.67,0.8922,0.4099,6.8816,74.45,138.28,88575.0,985.5,8837.9,1.4545,20165.8,2404.07,12463.5,3326.5,179.74
JAM020,JAM22,T2.100.210.3AA(79),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Thetford,Thetford,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,Slave Village,,Historic,,,,,JAM-2,JAM020,HLL2,11/21/2004,HAM1-S,11/12/2004,3.9839,10.4104,0.1841,8.2899,1.7892,1.2838,0.9363,18.1707,7.8591,37.7316,1.7965,0.4877,45020.6,6.5228,0.00,79.90,0.6520,14.2299,316.42,0.8546,0.1666,6.6648,81.35,182.60,89529.7,1008.5,8332.2,1.2055,23356.0,463.21,12968.8,4357.2,124.38
JAM021,JAM22,T2.100.210.3.AC(81),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Thetford,Thetford,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Slipped and Burnish,,,,,,Slave Village,,Historic,,,,,JAM-2,JAM021,HLL2,11/21/2004,HAM1-S,11/12/2004,3.2698,12.6918,0.1990,9.7237,2.2235,1.4478,1.1371,22.3812,8.3665,43.9903,1.7770,0.6090,43292.3,4.2637,0.00,60.89,0.6357,14.6825,265.58,0.6325,0.2635,5.5999,87.84,96.35,80356.7,787.8,11146.3,1.7691,18276.0,397.15,13256.7,4692.6,142.15
JAM022,JAM22,T2.102.208.3.B(27),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Thetford,Thetford,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Slipped and Burnish,,,,,,Slave Village,,Historic,,,,,JAM-2,JAM022,HLL2,11/21/2004,HAM1-S,11/12/2004,4.4336,13.9084,0.1643,8.6685,1.8304,0.8880,0.9846,22.9000,6.7537,31.5953,1.7711,0.4941,44506.8,5.5233,0.00,61.36,0.5785,12.1121,240.26,0.8133,0.3496,5.7967,76.75,132.93,84723.9,724.7,9386.6,1.5048,17440.3,383.48,13128.0,4566.4,143.60
JAM023,JAM22,T2.222.187.3.A(28),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Thetford,Thetford,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,Inverted Pot,Slipped and Burnish,,,,,,Slave Village,,Historic,,,,,JAM-2,JAM023,HLL2,11/21/2004,HAM1-S,11/12/2004,4.7083,11.2044,0.2140,8.7940,2.1708,1.4499,1.1865,20.0849,8.0596,37.0949,1.6155,0.5996,41244.7,7.8402,0.00,62.32,0.6093,14.9731,274.28,0.6375,0.2413,5.1948,70.56,227.88,82598.0,1053.4,8321.7,1.3540,17235.0,581.27,13887.8,3835.2,155.26
JAM024,UNAS,T2.100.210.3.A(07),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Thetford,Thetford,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,Vertical Pot,Slipped and Burnish,,,,,,Slave Village,,Historic,,,,,unassigned,JAM024,HLL2,11/21/2004,HAM1-S,11/12/2004,7.4928,11.1140,0.1789,7.3010,1.8662,1.3681,0.9193,21.3495,11.6856,63.6668,1.8186,0.4856,55006.4,7.3635,0.00,62.30,0.7887,14.3846,267.92,0.9708,0.1678,6.5170,76.15,209.57,95584.6,715.0,11022.8,0.7665,17927.4,1075.86,10559.9,4543.1,200.82
JAM025,JAM22,OK.54.1.6.A,MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Old Kings House,Old Kings House,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,Inverted Pot,Slipped and Burnish,,,,,,Urban Residence,,Historic,,,,,JAM-2,JAM025,HLL2,11/21/2004,HAM1-S,11/12/2004,5.2762,19.2581,0.2403,15.4142,3.5842,1.7580,1.5821,34.2685,6.9803,32.3278,2.0298,0.8787,42454.1,5.7304,0.00,73.26,1.7029,12.5307,307.86,0.8564,0.4155,7.6003,68.31,162.64,86974.8,777.5,9887.7,2.5864,23305.6,549.49,14864.7,4577.8,156.84
JAM026,JAM21,OK.54.1.15.A(5),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Old Kings House,Old Kings House,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,URBAN RESIDENCE,,Historic,,,,,JAM-1,JAM026,HLL2,11/21/2004,HAM1-S,11/12/2004,11.7724,14.3079,0.1876,11.0955,2.7233,1.1799,1.3235,26.7919,13.8586,38.6750,1.6357,0.7882,44161.2,3.6344,0.00,47.90,1.5124,15.0078,259.79,0.5922,0.3578,3.6060,63.56,99.84,92319.2,638.7,18487.7,1.9490,14860.5,403.28,22680.3,3939.4,136.44
JAM027,JAM21,OK.54.1.9.CA(140),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Old Kings House,Old Kings House,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,URBAN RESIDENCE,,Historic,,,,,JAM-1,JAM027,HLL2,11/21/2004,HAM1-S,11/12/2004,8.1445,13.8907,0.1621,7.9501,2.0545,0.9559,1.0714,23.4229,9.0419,38.8790,1.5209,0.6122,41535.1,3.7788,0.00,52.44,1.6177,15.0462,271.59,0.6224,0.2268,3.8654,66.72,99.83,91085.9,503.0,9045.6,1.6913,15369.6,318.94,23532.3,3723.7,101.73
JAM028,JAM21,OK.54.1.8.BD(120),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Old Kings House,Old Kings House,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,URBAN RESIDENCE,,Historic,,,,,JAM-1,JAM028,HLL2,11/21/2004,HAM2-S,11/12/2004,10.5203,16.0855,0.2224,12.1907,2.7969,1.0698,1.4800,33.0834,18.5039,41.0782,2.3641,0.8576,46115.2,3.9415,0.00,59.00,1.5667,17.2748,197.84,0.6353,0.5124,3.9990,102.13,114.03,88386.5,500.1,4961.4,1.9025,15831.9,674.25,22466.2,3204.5,122.16
JAM029,JAM21,OK.54.17.CB(137),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Old Kings House,Old Kings House,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,Vertical Pot,Slipped and Burnish,,,,,,URBAN RESIDENCE,,Historic,,,,,JAM-1,JAM029,HLL2,11/21/2004,HAM2-S,11/12/2004,15.7369,11.5936,0.1672,7.3182,2.0357,0.8855,1.0129,19.3790,8.2447,37.5486,1.6775,0.5903,41734.7,3.6477,0.00,55.20,1.3977,14.3067,309.86,0.5654,0.2423,3.5085,97.05,105.80,85952.3,721.6,12354.4,1.4142,16478.4,293.61,21476.3,2723.2,123.14
JAM030,JAM22,OK.54.1.9.BA(121),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Old Kings House,Old Kings House,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Slipped and Burnish,,,,,,URBAN RESIDENCE,,Historic,,,,,JAM-2,JAM030,HLL2,11/21/2004,HAM2-S,11/12/2004,10.7540,18.9340,0.2246,14.1416,2.9386,1.2675,1.3555,29.8165,6.0836,47.8647,2.1377,0.7210,48548.6,5.0678,0.00,64.07,4.7612,16.5281,337.39,0.7766,0.3017,6.8098,88.98,112.29,93189.8,720.6,12759.7,1.7647,19245.5,340.10,11250.0,4319.9,158.59
JAM031,UNAS,OK.54.1.8.BC(119),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Old Kings House,Old Kings House,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,Vertical Pot,Slipped and Burnish,,,,,,URBAN RESIDENCE,,Historic,,,,,JAM-2,JAM031,HLL2,11/21/2004,HAM2-S,11/12/2004,14.7500,24.2717,0.2954,18.6741,4.0811,1.9740,2.1129,44.3233,14.2155,104.5475,2.1011,0.9253,61229.2,7.8644,0.00,47.50,4.2414,20.2314,306.67,1.1548,0.3785,7.9024,105.95,253.83,93584.6,534.6,18309.9,2.6454,14480.4,600.05,8760.3,4803.3,240.69
JAM032,JAM21,OK.55.1.9.A(12),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Old Kings House,Old Kings House,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,URBAN RESIDENCE,,Historic,,,,,JAM-1,JAM032,HLL2,11/21/2004,HAM2-S,11/12/2004,13.6679,14.5603,0.2564,11.7829,2.6665,1.0217,1.5187,26.8848,13.0610,41.0398,1.7953,0.7860,45202.4,3.8106,28.45,56.72,1.9031,15.8515,288.17,0.6157,0.4636,3.6883,75.88,88.52,91153.5,542.4,9647.4,1.8638,15342.3,378.54,22704.3,2841.6,129.86
JAM033,UNAS,OK.52.1.3.CB(142),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Old Kings House,Old Kings House,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Slipped and Burnish,,,,,,URBAN RESIDENCE,,Historic,,,,,unassigned,JAM033,HLL2,11/21/2004,HAM2-S,11/12/2004,6.0740,13.3518,0.1747,6.9756,1.7919,0.7942,0.9201,24.8475,13.4637,46.8792,1.8510,0.4734,47093.3,6.1501,0.00,63.19,2.1641,13.7251,235.98,0.7434,0.1909,5.8829,74.13,166.77,87034.7,712.8,10131.2,0.9444,19183.2,620.67,11262.5,4102.0,146.00
JAM034,JAM22,OK.52.7B.CA(129),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Old Kings House,Old Kings House,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,URBAN RESIDENCE,,Historic,,,,,JAM-2,JAM034,HLL2,11/21/2004,HAM2-S,11/12/2004,21.4817,6.7767,0.1312,4.2408,1.1662,0.8368,0.7038,11.0269,4.2868,35.0372,1.9367,0.3340,35237.6,5.0658,0.00,72.85,1.2614,13.4331,323.12,0.5918,0.1690,4.6433,102.38,137.77,73766.1,851.8,10512.8,0.6399,21040.5,170.50,11348.2,3428.8,122.07
JAM035,JAM21,OK.54.1.8.CB(136),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Old Kings House,Old Kings House,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,yabba,Internal Glazed,,,,,,URBAN RESIDENCE,,Historic,,,,,JAM-1,JAM035,HLL2,11/21/2004,HAM2-S,11/12/2004,10.8723,16.7445,0.2013,13.3329,3.0704,1.3136,1.4998,32.6529,17.3737,37.9321,2.0899,0.9085,42671.7,4.0798,28.73,56.19,1.9784,15.8034,215.28,0.6732,0.4373,3.7182,68.97,101.15,87701.2,676.5,11636.9,2.1628,15031.5,732.32,21479.7,2590.9,131.74
JAM036,JAM22,OK.54.1.8.BA(117),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,St. Catherine,Old Kings House,Old Kings House,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,Inverted Pot,Slipped and Burnish,,,,,,URBAN RESIDENCE,,Historic,,,,,JAM-2,JAM036,HLL2,11/21/2004,HAM2-S,11/12/2004,7.6363,15.2631,0.2310,10.3430,2.4828,1.7213,1.2870,28.0058,7.2480,41.8063,1.6342,0.6619,42917.4,5.6694,0.00,72.97,4.5963,13.2785,301.95,0.7440,0.2689,5.9098,91.93,143.79,80288.1,799.5,13663.8,1.7595,19991.1,566.94,12202.5,3383.8,149.84
JAM037,JAM21,OND.1.4.CA(165),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,Kingston,Old Naval Dockyard,Old Naval Dockyard,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,Vertical Pot,Slipped and Burnish,,,,,,URBAN RESIDENCE,,Historic,,,,,JAM-1,JAM037,HLL2,11/21/2004,HAM2-S,11/12/2004,10.2150,15.1408,0.2084,12.0804,2.8699,0.9510,1.2881,27.1471,8.2887,39.1103,2.1109,0.8257,44453.5,3.7780,0.00,52.88,1.3801,15.9446,210.33,0.6067,0.3407,3.6785,65.62,105.73,88105.0,576.8,3893.6,1.7975,13701.1,256.30,26007.1,4036.2,119.40
JAM038,JAM22,O.1.4.K(46),MURR (SRM-1633a),"Hauser, Mark",Northwestern University,,Caribbean,Jamaica,Kingston,Old Naval Dockyard,Old Naval Dockyard,18.0000,-77.0000,18P,0,0,ceramic,,Domestic Coil,water pot,Slipped and Burnish,,,,,,URBAN RESIDENCE,,Historic,,,,,JAM-2,JAM038,HLL2,11/21/2004,HAM2-S,11/12/2004,14.0643,12.6388,0.2315,10.6167,2.3853,1.2395,1.1751,33.6284,11.4770,41.7505,1.6901,0.6280,54001.8,6.9805,0.00,61.98,1.6106,12.5544,259.40,0.9191,0.2526,9.0728,80.80,204.96,87396.1,542.1,7967.8,1.7256,16752.4,672.39,11838.2,4807.1,176.27
